,title,writer,date,rate,content
914,leaves me with just hollow emptiness,keenast,23 January 2020,1,"Everybody and his aunts seem to love this movie - and I can't figure out why. Yes, it's technically well done but so what, many movies are well done. There is not on character of interest to me and nothing makes sense to me."
915,Interesting look into Korean society.,jim-man,18 December 2020,8,"Like everywhere else, there are the successful and the not-so. In this film, the bottom dwellers (the Kim family) live in a basement suite and do odd jobs. One day, they use a scam to infiltrate a rich family (the Park family).In typical Asian manner, the employers don't check job references or do a criminal background check. Depending on personal introductions and a superficial assessment at the job interview. Such is the dependence on the sanctity of Confucian social relationships.Naturally, the amoral Yi family take full advantage of the naive gentile Mrs. Park. Behaving in an atypical Asian way to eliminate the other servants.Add the complication of a debtor hiding in a secret basement. Preferring self-imprisonment to life as an outcast above ground.Eventually, there is tragedy as the past of the deceitful people catch up with them. Bringing death to the Park family.Excellent direction and acting. Quite convincing.Like the film Crouching Tiger Hidden Dragon, this film offers insights into Confucian society. About ideals and the failures to meet the standards."
916,A Sharp Social Satire Wrapped in Thrilling Suspense and Dark Comedy,divaarmedio,27 September 2024,10,"*Parasite* (*Gisaengchung*, 2019), directed by Bong Joon-ho, is a masterful, genre-bending film that explores themes of class disparity, greed, and survival. The film follows the impoverished Kim family as they scheme their way into the lives of the wealthy Park family, with each member posing as a highly qualified professional. What begins as a darkly comedic take on social mobility soon escalates into a tense, unpredictable thriller.Bong Joon-ho's direction is brilliant, seamlessly blending social commentary with gripping suspense, dark humor, and shocking twists. The film's tone shifts effortlessly between comedy, drama, and horror, keeping the audience engaged and on edge. The intricate, layered screenplay, co-written by Bong, delves into the growing divide between the rich and the poor, examining the absurdities and brutal realities of class conflict in modern society.The performances are outstanding, with each member of the Kim and Park families playing their roles to perfection. Song Kang-ho, a frequent collaborator with Bong, delivers a standout performance as Kim Ki-taek, the patriarch of the Kim family. His portrayal of a man both desperate and cunning, trapped in a cycle of poverty, is poignant and powerful.The cinematography by Hong Kyung-pyo is another highlight, with the stark contrast between the cramped, dingy basement where the Kim family lives and the sleek, modern luxury of the Park family's home visually reinforcing the class divide. The design of the Park house, with its large windows and clean lines, plays a crucial role in building suspense and tension as the story unfolds.*Parasite* is full of symbolism and metaphors, from the ""staircases"" that represent social hierarchy to the basement that becomes a literal underworld of hidden secrets. The film's title itself reflects the parasitic relationship between the families, as each feeds off the other in different ways, but also comments on the broader systemic inequalities in society.The film's climactic twist and its devastating final act are shocking and leave a lasting impression. Bong Joon-ho skillfully combines moments of brutal violence with emotional depth, creating a conclusion that is as tragic as it is thought-provoking.Overall, *Parasite* is a near-perfect film that transcends genre and cultural barriers. It is a searing critique of inequality, told with biting wit, suspense, and a remarkable attention to detail. Its historic win at the 2020 Oscars, where it became the first non-English language film to win Best Picture, solidified its place as one of the most important and influential films of the decade."
917,SUCH A GREAT THRILLER!!,snperera,19 January 2021,8,This family is so entertaining and real and the story is so so real and engaging and it has such a strong message about status and class!!! I really enjoyed it!!!
918,The other face of reality,greciarodarte,25 February 2020,8,"Parasite is a movie that has been recognized and given really good reviews, anyways to me it wasn't the best movie ever. This movie was different in the sense that it played with your mind having a story unpredictable. Parasite is also a reflect of society, our worst fear is ourselves and the system we have constructed. We are always trying to get more and more and sometimes we aren't able to see the risks until you loose it all. That's why I liked all the outcome that reflects what our reality is, anyways the result of all the problems was something not really convincing to me. The possibilities to get to that end are one in one million, so I think even a better ending would be too keep this real idea that things not always end up as we want. The movie in general was really well made, the way Bong Joon Ho thought about every scene and detail is surprising."
919,An Epic Interesting Film,alindsayal,12 December 2021,10,"This is a film that has been in the news lately as it picked up 4 Oscars including Best Director & Best Picture which is huge for a non english speaking film. I have now had the chance to see the film and this is my review for the film. The premise of the film sees a poor family look to gain an opportunity by gaining jobs in a higher class family and gain the advantages from that.Main Character
Now there are quite a few characters in this film but really Woo-Sik Choi plays the son in the family and he does a great job in the film, you can see he has pretty honest intentions at first but things start to unravel for him and he doesn't quite know what to do. He is likeable but you aren't sure if you should root for him and that creates a multi layered character that keeps you interested throughout.Supporting Characters
Everybody gives a superb performance in the film, I won't go through everybody's names as they are quite long but whether it is the poor family or the rich family everybody is believeable and real in the film. These characters are as mentioned before multi layered and you just aren't exactly sure who exactly to root for. The one actor I will mention is Kang-Ho Song as the Father of the poor family, he is truly brilliant in this film, he probably goes through the most in this film and he is the most interesting person in this film and honestly he should have probably got nominated for the Best Supporting Actor at The Oscars but nonetheless he is great in this film.Story
The first 20 minutes of this film I wasn't exactly sure where this film was going but it is super fascinating watching the dynamics between the two families and seeing the different personalities and motivations which really blurs the line. I don't want to go into the plot too much as I had no idea what this film was about before I watched it so it should be the same for you. Also to put it on top the ending for this movie is so thought provoking and perfect for the film that has been going on.Script
The script even though in Korean is brilliant, this film suprisingly has tons of humour in it, I laughed quite a bit in this film which shows just how well the writing is to make these characters feel multi dimensional. The drama also really works to make you truly care about what is going on and what is happening to the characters that you are watching.Style
First of all lets mention that obviously this film has subtitles, this should not be something to worry about as it is fine and the film is so strong that it doesn't matter. Okay this film has a bit of everything in a stylistic way, it looks great and has bits of comedy, thriller, drama & horror, it is a perfect blend that keeps you on the edge of your seat and excited to see what comes next.Overall
Overall, this is one of the best films I have seen in the last few years, it just has a bit of everything to it and was well worthy of its Best Picture win at the Oscars. If you are put off by foreign films and reading subtitles, don't be as this is a truly special film that has to be seen to truly appreciate just how good it really is.Rating - 10/10."
920,"Breathtaking, Extraordinary and UNIQUE!!",rasoolyfarhad,5 March 2022,10,"A movie demonstrating different classes in society, accompanied with great acting, an original plot and beautiful cinematography, if you want a movie that you can find new things and hidden meanings everytime you rewatch, Parasite is THE movie you want, certainly one of the best movies of last decade and completely deserved all single awards it won."
921,Good film,pradyumnsaraswat,28 April 2020,7,"In my view it is neither too good nor too bad
But somwhere in middle"
922,It was so unexpected,greeneyekhajiit,28 June 2021,10,"It was so unpredictable, such a twist, so off the rails into the stratosphere, it's just - wow. Utterly a roller-coaster.I never would have expected something like this from a Korean movie - it's just not how they usually feel to me, it's more something like Seth MacFarlane does in his Family Guy or American Dad.It's serious, meaningful, so alive, and so tragic, so heart-breaking and so terrifying. And in the same time kinda light and funny. It never an overdose of either emotion, it's just enough to enjoy their somewhat sharp sensation. I just usually like those things, and this one is perfectly done, perfectly balanced, spiced and fresh."
923,Decent movie but does not live up to the hype,marc-van-duijn,9 March 2020,7,"I had high expectations given the raving reviews here. But I have to say, I was disappointed. Fair enough, it is a decent movie with an original plot, but certainly not one of the best films of all time. Not by a long shot."
924,Disappointed,bryan-16440,23 February 2020,1,After all the hype about this film and the number of awards I was very left feeling very disappointed with this film. Whilst it may have achieved what it set out to be. It seemed neither one thing nor the other. For the most part I found it completely predictable.
925,Parasite,msnakeairsoft,28 January 2022,10,"Thrillingly played by a flawless ensemble cast who hit every note and harmonic resonance of Bong and co-writer Han Jin-won's multi tonal script, it's a tragicomic masterclass that will get under your skin and eat away at your cinematic soul."
926,Ironic psycho,avarageBCSenjoyer,31 October 2021,9,"Ki-woo being crippled by something that really started this movie is very ironic and sad at the same time. Something that really excited me in this movie is the cinematography and the turning point of this movie - from the funny joke to the absolute psycho mode. Can't get enough of the idea of this movie, how everyone from success ended up being that one they were trying to get rid off. This movie comes-off like a great art with absurd soundtrack that still sounds good. This movie is near 10, it could be more artistic from the cinematography point, but still a must-watch."
927,"Great Plot, Great movie, but certainly not the greatest of the decade.",benjivenji,16 June 2020,8,"It was a really great and funny movie, but really predictable which makes it hard to say if it really is one of the greatest. Of course, it was funny, creative and overall just good.
Highly recommend if you're into Mr Bean/Charlie Chaplin comedy"
928,The best film of the 21st century,iwoegill-89023,19 October 2021,10,"Parasite (2019) is a masterpiece at it´s finest. There is clearly no surprise that it won 4 Academy Awards.My favorite part of the film was 100% the cinemaphotography, this movie is art, and that's thanks to the cinemaphotography. Every angle isn´t lazy. It´s well made and the director Bong Joon Ho took every chance possible to put his vision on the big screen.Another amazing thing is the acting. The actors put the best performance possible. From dramatic scenes, to intense scenes and to horror scenes.Now some people might not like the ending, but it had me amazed. It shows also how unpredictable this film is.It also shows how everyone isn´t who they say they are. Even if its just small things.This film is amazing and if you haven´t seen it, then I highly recommend it. (unless you cant handle violence) if not, then watch it."
929,"Parasite (2019): So Engaging That You Won't Want to Get Up, with Twists That Leave You Stunned",DJPleum,5 October 2024,10,"Parasite is a film that kept me on the edge of my seat the entire time! Director Bong Joon-ho did an amazing job. The story revolves around the Kim family, who are extremely poor and desperate to infiltrate the wealthy Park family, which represents everything they aspire to be.It starts off with humor and charm, making us laugh at the Kim family's antics. But as the story progresses, it becomes clear that ""hey, this isn't just a comedy anymore."" The tension builds steadily, keeping me glued to my seat.What makes Parasite so fascinating is its unexpected twists. The film cleverly plays with the audience's expectations. In the beginning, we see the Kim family's struggle to integrate into the wealthy society they want to join, but as the story unfolds, everything takes a turn in a direction we never saw coming!There's a shocking scene where we uncover a secret hidden within the Park family's home that completely changes the game. I can't describe the feeling well enough; it felt like I was on a roller coaster!The actors in this film are fantastic! Especially Lee Sun-kyun and Choi Woo-shik, who bring depth to their characters, allowing us to understand where they come from and what they desire. The intelligent direction and beautiful cinematography enhance the film's allure. Parasite is not just a comedy or a mystery; it's also a reflection of societal issues that occur around us, cleverly using various symbols.Overall, Parasite is a must-see film! It's both entertaining and thought-provoking, making us question the world around us at the same time. If you haven't seen it yet, go find it and watch it right away!"
930,Parasite new century,nadia999,15 November 2023,9,"Parasite is a cinematic marvel that goes beyond mere storytelling to deliver a deeply resonating commentary on the class disparities that pervade modern society. Directed by the brilliantly inventive Bong Joon Ho, the film effectively intertwines elements of drama, comedy, and thriller to create an experience that lingers long after the screen goes dark.The narrative centers on two contrasting families and, through them, explores the complex dynamics of wealth, poverty, and human tendency. It's a masterly crafted web of intrigue that keeps the viewer engrossed and constantly on edge. The screenplay is astoundingly unpredictable and the sharp, crisp dialogue effectively builds tension while maintaining its dark humor.The cast delivers stellar performances that bring their layered characters to life. Each actor stands out, portraying their varied characters with precision, be it the cunning yet charismatic poor family or the oblivious yet complicated wealthy family. The somber, atmospheric cinematography coupled with the haunting score creates an increasingly uneasy ambiance that height."
931,Gave it a 7 but because of wokeness I dropped it to 6,mkwoolley,2 February 2021,6,The wokeness I am referring to is Hollywood. Best picture? Because it's a foreign film written by non white males and no white males are in the movie. This is a nice way to cap off the decade of insane wokeness. That is the only conclusion I can come to as to why this won so many Oscars (which have been a joke ever since Shakespeare in Love beat Saving Private Ryan for best picture).
932,"No one is ""evil"". Then how come the bad things happen?",jehpark,13 March 2020,10,"No one is ""evil"". Then how come the bad things happen?This cinema does not answer, but masterfully poses all the questions that should be asked. Interestingly enough, just like the characters do in the movie, Bong Joon Ho does not allow the audience a moment to think about the grand theme of the movie until the very end: What went wrong?It's funny, original, thrilling, and universal.
It's a movie to watch thoughtlessly with a can of beer.
It's a movie you could sit down and study the metaphors for hours.Parasite suggests a new paradigm for understanding our society, and most importantly, the people inside it."
933,It kept me interested but not really worth the high rating in my opinion.,Swe3ets,17 April 2020,7,"I felt there was a lot of unused themes, like the Chekhov's gun principle and the family was fairly smart but jobless, it doesn't fit. More goofy than a masterpiece.
All in all it was a decent movie and worth my time, I think its rating though is inflated by the social class messages throughout the movie."
934,A little confused as to how this movie is so extolled worldwide.,jasonjason-33756,7 August 2019,4,"I would like to start out by saying that I am a Korean-American college student (studying at an American college) and have plenty of experience watching Korean movies, including some great ones by Bong Jun-Ho himself, such as The Host, Memories of Murder, and more.A few months ago when the trailer for Gisaengchung (Parasite) came out, I was really hooked; the trailer gave off that eerie vibe (remotely reminded me of Midsommar by Ari Aster) which I found really intriguing. Seeing all the positive reviews on multiple websites, hearing that this film won at the Cannes Festival and understanding the genius of Bong from his previous films, I had very high expectations.Here are some of my main points to why I don't love this movie:1. Acting: The first 10~15 minutes were rather painful to watch. Perhaps it would hit differently for foreigners watching with subtitles, but the unnatural lines and the poor delivery made it really hard for me to focus on the characters. I think the poor acting performance gets better throughout the film, but the Jo Yeo-Jung (mother of rich family)'s acting just felt too out of place and cringey. Perhaps that was the point: to make it look awkward and artificial (especially with the sprinkling of English words) to poke fun at the rich class and their pretentiousness. I understand this is social satire, but the execution was not very convincing. If done properly, I feel like it could and should be subtle yet piercing. I would have had to hated her guts, wanting her to die or her close people to die, but I was barely filled with such emotions. She treats her maid a little too well, and her tone just isn't all that condescending or demeaning. Seemed more like a typical Korean woman freakishly obsessed with her children's education; not a greedy, disgusting woman who doesn't deserve her wealth and privilege.2. Poorly written/Predictable Plot: I don't the writers tried too hard writing the script for this movie, especially in the beginning where Park Seo-Jun (the tall, smart dude who used to teach Ki-Jung, the daughter of rich family) refers Ki-Woo (son of poor family) as a private tutor. Ki-Woo seemed too smooth with it (not to mention their entire family) even though it is implied that he has never done this before (in the scene where he drinks with Park, the ex-tutor). The film makes it seem like Ki-Woo and their entire family are expert con-artists who screwed up rich families all their lives. That transition was just too abrupt and unconvincing with very little build up.Now I want to talk about my main point, and perhaps my main pet peeve about this film: predictability. The element of surprise and keeping the audience at the edge of their seats is what drives us crazy and get excited: questioning every scene, line, action of the characters.However, many aspects of the movie were predictable. I felt like I was always two to three pages ahead of the script throughout the movie: how Ki-Woo will soon bring in her sister after getting the job and thus bring in the entire family; how the rich family will soon return from their camping trip due to the thunderstorm, to screw up the poor family that threw a party in the mansion-ish house. I also do not understand how the sex scene on top of Ki-Tae (dad of poor family) and his kids hiding under the table contributed to the plot. I wish they focused more on the class struggle, the main theme of this movie, and develop on that. The rich dad is the guy who is remotely the obnoxious, successful man who disdainfully looks down upon the poor (bc of his hate for Ki-Tae's smell, which is later the reason Ki-Tae kills the rich dad), but I feel like they could have painted him with a more obnoxious, cunning, and elitist personality. I didn't want or need the rich guy to die at the end, meaning that I wasn't in Ki-Tae's shoes as much as I wanted to and was supposed to, due to lack of character development and build-up.3. Execution: The theme of this movie is banal; but that doesn't matter because I believe execution and delivery are essential elements in story-telling. To bring up Breaking Bad, as much of a masterpiece it is, the plot, although extremely well executed and developed, isn't all THAT ground-breaking. A poor, depressed guy turning the tables around (rather dramatically) is a recurring theme in movies (American dream movies, super hero movies, and more. I am not discrediting Breaking Bad in any matter. The show's plot is unparalleled, not because of where it started but because of how it developed. How Walter became a criminal mastermind. How Jesse became so vulnerable. How the tables have turned so drastically.In Parasite, there is no development nor shock value (especially as to how the poor family will tear apart the rich family, perhaps so because of the title haha). I don't feel connected to the poor family. Their motives are weak and unfounded: they are mere criminals (now I can't say that their financial struggles is deserved or not because that is a whole another issue), but there is just too little build-up. Like I said, they just seem too smooth of criminals who's been in the field for decades.Conclusion: I have been chewing on this ever since I finished watching, but it could be that Bong didn't intend to hit on the points I made; like he didn't feel like he needed to add a strong shock value, or that the poor family needed more build-up. But overall, the plot was too predictable and unconvincing. I saw little pain and suffering of the poor; I wanted to see more jealousy and contempt towards the inequality; perhaps make the rich dad a corrupt CEO? Not just a regular man who's in the tech industry? I didn't feel bad for the poor family, nor did I feel disgusted by the rich family. I didn't think that the rich dude needed to die; I definitely don't think this family didn't deserve that, when in fact I should be triumphantly cheering for Ki-Tae to just go out on a killing spree. Him hiding in the basement was also very obvious. Would have been cool if they didn't reveal that and just show the malfunctioning light blink at a certain pattern, indirectly letting the audience know that Ki-Tae, who was supposedly gone missing, had hid in the basement. Showing not telling (done exquisitely in No Country for Old Men). Instead Bong put a longnarrative in the end which was not inspiring, shocking, nor meaningful. Bong just had the actor explain the whole thing in paragraphs.Proposal/Biggest Regret: Where I think they really could have taken this movie off was when the rich family cancelled their camping trip and came back: the family finding out about how the poor family was stabbing them from behind, and thus the rich family just mercilessly oppressing the poor family with extreme measures. That is the only part where I was curious about what was going to happen. I think that was where Bong could have given us some insight into the cruel, unfair, and corrupt capitalist society that he is (supposedly) trying to criticize and writing this satire about.Just some thoughts. Although I am in the never-ending search for good movies, I am no expert. I was just confused at how ppl thought this is Bong's greatest movie ever or even the best film of the 21st century for that matter.Subpar."
935,One viewing only,ccgriffin71,10 April 2021,10,I've only viewed this film once and everything about it was beautiful! From the addictive plot to the gorgeous cinematography Bong Joon Ho has crafted a modern masterpiece that I will be revisiting repeatedly.
936,"Tense, weird, compelling",mycannonball,15 December 2021,8,"This drama is tense with suspense and drama. It has some twists and turns and at times, it's dark and creepy. At other times, it's funny. It could have been edited down a good 20 minutes as it dragged in some places (esp. The setup) but overall, very good!"
937,Remembered all the hype,ccbowks,13 November 2023,10,"So I finally decided to watch this movie today and I am just blown away because I definitely heard about it when it first came out and all the awards and all the other movies it topped and granted I watched it with a baby and a toddler so it was a lot of pausing and definitely gonna rewatch it, but this movie was amazing from beginning, middle, and end. It was truly worthy of everything at one I am beyond surprised like I did not know what I was in Stored for I never read anything about it but I definitely wanted to see it and today was the day and I'm so glad I did like I would love to watch this with my husband and just sit back and enjoy it like this was hands-down, one of the best films. I've watched in a very long while and funny thing is, it was recommended when I was looking at what was like gone girl and I enjoyed that movie even though it pissed me off, but it was a great plot too, but this one was definitely one you wanna watch."
938,two stories in one,donaldricco,1 August 2020,8,"Beautifully filmed and acted! One family inserts itself into another, and neither will be the same again. And the way they address the socioeconomic disparities through the use of smell is really interesting. I didn't love the ending, but the rest was thoroughly engaging!"
939,Bong Joon Ho challenges our minds again.,joemitchell-10214,28 January 2022,9,PARASITE is a true psychological thriller with a ruthless ending that is a must watch for anyone who is a fan of thought provoking films. I watched this because Bong Joon Ho who wrote SNOWPIERCER also wrote and directed PARASITE.
940,Extraordinary,cartr94,11 May 2024,10,"At first I had some reluctance to watch this film, thinking that it is an ordinary Asian film that presents a story from a different corner of the earth than what we are probably used to in Hollywood films or those on our continent. But noticing the rather high rating on IMDB, I said: let's give it a try.The more minutes of viewing went by, the more I was struck by the originality and ideas of the South Korean director. The movie gets funnier along the way, after which extremely strange and funny things happen.I want to say that in my opinion it is an 11 film on a scale from 1 to 10 and that this film beats all the American and European films of the last decade."
941,A Solid Metaphor Film,zkonedog,24 March 2020,7,"Let me say right away here that ""Parasite"" may very well indeed be even better than a 7/10 star film. For my viewing experience, there were a number of factors that may well have dampened the overall experience. No matter how you slice it, though, ""Parasite"" is a solid metaphor film that engages both on surface and deep levels.For a very basic overview, this film focuses on two families in South Korea: The Kims are the definition of poor, living in a cramped sub-street level apartment and barely scraping together enough to subside. The Parks are much wealthier, living in a spacious mansion and employee tutors, drivers, and a housekeeper. Through a serious of events both fortuitous and comical, all four Kims become employed (in varying capacities) by the Kims. The juxtaposition between ""clans"" is readily apparent, and brought to an even starker contrast when a momentous discovery changes/defines the entire back half of the film's narrative.On the surface, ""Parasite"" is pretty entertaining, using a multi-genre approach to keep the viewer's interest. While watching, you will be treated to comedy, drama, farce, seriousness, etc. There is never a dull moment, in other words, and the acting is strong throughout. The subtitles only take a few minutes to get used to (from an American viewer perspective) and will quickly become second nature, so don't let that be the reason you may shy away from this movie.More importantly, though, ""Parasite"" is also very much a metaphor movie, dealing with class structures and the fundamentals of capitalism itself. I won't go into spoiler details here, but there are much deeper meanings here than simply what is visually/physically portrayed. Multiple, deeper readings/viewings of the material are very easy to pick out and analyze.Like I said in the opening paragraph, ""Parasite"" may be objectively higher than 7/10 stars. For me, though, it was watched during a nationwide pandemic state, in which it was hard to focus on the issues these filmmakers wanted to put forth. Also, and this is very much a personal preference, I prefer metaphor films to ""sneak up on me"" as opposed to knowing that going in. With this film, though, the cat was out of the bag after the Academy Awards, which is when it will garner the majority of its popular viewings. So, I knew to look for the ""deeper stuff"" from the get-go, and I feel like that may have influenced by overall viewing experience (and perhaps not for the better).So, as of right now, I'm giving ""Parasite"" a 7/10 ranking. A solid film that I enjoyed, but not necessarily amongst my personal all-time favorites. Perhaps upon a second viewing in a different personal/social climate, it will climb the ranks further. It certainly won't go any lower."
942,9/10,hsonhpy,14 September 2023,9,"I think the film does a good job of exploring the theme of class. The Kim family is a poor family who is constantly struggling to make ends meet. They are forced to take on menial jobs and live in a cramped basement apartment. The Park family, on the other hand, is a wealthy family who lives in a luxurious mansion. The two families are worlds apart, and the film explores the ways in which the Kim family tries to exploit the Park family's wealth.The film shows how deception can be used to gain power and influence, but it also shows how it can backfire.Good film for anyone who enjoys dark and twisted comedies, or for anyone who is interested in the themes of class and deception."
943,An enjoyable movie,xelacam,19 January 2023,7,"A brilliant an enjoyable movie to watch, I was invested throughout the whole film. Although in parts it dragged however there was great character building and ultimately I cared for all the characters I wasn't sure who the hero or the villain was!But the ending, wow I was gobsmacked. I knew something bad would happen but didn't think it would be that bad. I must admit that I was a little confused as to why the poor father (Sorry, I've forgotten their names) killed the rich father just because he stank. Didn't feel that would happen in real life and did feel rather ridiculous.The film was very long I felt they could've cut parts and perhaps gave us more closure towards the end. Every scene after the stabbings felt rushed and it was alot of information to take in, felt like they could've elaborated on this part on the movie.7-8/10."
944,1 out 10 ....and that's being generous.,brickfilming,24 February 2020,1,"Either I am living in an alternate universe - or this movie is being reviewed by paid reviewers in favor of promoting Parasite.I left the cinema after an hour. I haven't done that in 10 + years.
Incredibly boring movie.
Overacting pervasive.
Story-line pedestrian.
Give it a wide birth..don't waste your money , or more importantly your time on this movie."
945,So much to unpack with this one....,pauladrivers,25 May 2020,9,Genre defying. There is so much happening in this movie - just when you think you have figured it out it shows you something different. It leaves you wondering - who really is the Parasite?
946,That was Amazing,fattah_1369,27 December 2022,9,"Hi everyone
I didn't know anything about the story of the movie, the actors, and the awards that this movie won before watching the movie, and I was interested in seeing it only because of the relatively good ratings given by the viewers.When I saw the movie, I was really involved and I liked the acting of the actors and the narration of the movieIt is rare that you really enjoy and admire a movie after watching itAfter watching the movie, I came to the imdb website and did a small review about this movie, and when I saw that it won four Oscars and won and was nominated in dozens of other festivals, it became even more admirable.I don't want to talk about the details of the story, firstly because it has already been discussed by others, and secondly, you will get the pleasure of seeing it for the first time.It was very heartwarming and exciting for me."
947,Unexpected and Thought-Provoking,spencerkidner,7 September 2024,9,"Beautifully shot, acted, and written, this film is a unique specimen. About halfway through, the tone shifts quite dramatically, but is done in a way that doesn't feel abrupt. The characters feel real, and the main family has such a powerful dynamic. When the tension amps up, its palpable and keeps viewers engaged.While I am not an expert in Korean culture, I feel like this film does a great job of teaching through showing. The gaps in class are shown masterfully, and the poor family's views on the rich family make sense. I would definitely recommend this movie to all fans of foreign cinema, and film in general."
948,MELHOR FILME DO MUNDO,sunfavs,19 December 2021,10,"Que filme perfeito, cenas incriveis, roteiro peculiar, amo tudo. História é genial, muito diferente de tudo que ja vi. Que filme perfeito, cenas incriveis, roteiro peculiar, amo tudo. História é genial, muito diferente de tudo que ja vi."
949,"You will see the consequences of social inequity shot in such a interestingly relatable manner, it will be hard to dislike it",zoropirate,14 November 2023,10,"Filmmaker Bong Joon Ho once again surprised us with another masterpiece named Parasite. Where powerful social satire meets tragedy. The director did a great job portraying South Korea's current views on society exposing the underprivileged slums of most modern cities and it's citizens living in completely different worlds despite staying in close proximity. You are likely to find it relatable as the themes of this story are not just localized to Korea, but all over the world. Having its fair share of global capitalism and universal materialism, Meritocracy being the biggest trope of this movie.Now, the best way to enjoy this film is to cluelessly get into it, its charm is to watch it progress and unfold in many satisfying, unexpected ways.You can definitely see a unique directorial vision as Parasite welcomes the audience into multi-genres and tonal shifts that mix and take its turn after every act. Pure comedy, dark comedy to heavy drama, horror, thriller, mystery, you name it. It is one of the hardest things to pull off but the director converts them smoothly without letting the audience feel indifferent to the transformation. It manages to elicit the full range of responses, making the viewer react with uneasy laughter to unexpected situations that eventually lead to disturbing events full of horror.Now, who are the real parasites? The poor who attach themselves to the rich or the rich who suck the marrow of the poor?Satirically, it managed to portray how we may live under the same skies, but have different views regarding life.--
""You know what kind of plan never fails? No plan. No plan at all. You know why? Because life cannot be planned.""Success and fortune are reserved for those who deserve it, those who develop solid plans according to their talents and abilities and who execute those plans through hard work and determination. Anyone can rise to the top, but for those who cannot escape their sad reality will ultimately turn for the worse and thus start to justify their immoral backstabbing, deceit, and callousness for reasoning that can be only explained by growing up poor without support from others.The characters all have different aspects to them that will be received and viewed differently due to the viewers own biases and world views. This isn't a bad thing as the movies main point is to deliver a provocative social commentary in various metaphors. And the best way to do so is to create morally questionable characters that will resemble at least one familiar person known to you.,,Greed is inside each one of us, but the question is, how much are you willing to sacrifice for an idea of life in comfort?''
---
All in all, Parasite is a fantastic case of hard-hitting yet entertaining cinema.And one of the best movies recently made in Korea."
950,Para Para... Parasite!,questl-18592,25 September 2023,8,"I wish I could hop in a DeLorean Phone Booth and travel back in time. Not all that long ago, just to a place before Parasite became ubiquitous with greatness. It's my own fault, coming to it late. At first, I didn't get to it because of life, then I avoided it because of the hype, then I felt like I needed to wait till the right moment to properly enjoy it but the hype never quite died down, did it?Watching this now, I can't say a bad thing about it. It's brilliantly shot, everything tracks and makes sense on the screen. The story is fascinating and feels fresh and different. The acting is all spot on, even managing to make characters that really shouldn't be likable... Likable. The metaphors laid out are relevant and neither feel like they are assaulting you or like you need an advance degree in film theory to understand. It's all good stuff.So why don't I love this movie? I liked it. I did. But I wanted to come away from it with a sense of awe. I wanted to feel the masterpiece that is Parasite, like the rest of the world seems to have felt it. Instead, I feel like it's good, really good even, but I don't quite get the hype. If I had to put my finger on it, I'd say it's probably because I don't connect with the characters all that much, save for one. Everyone else here felt pretty basic to me.I absolutely plan to watch this again. I want to uncover what's here, I want to see what everyone else sees in it. As of right now though, definitely haver to put Snowpiercer above this one, in my own personal preference rankings."
951,"Read but feel very false, rich and poor are not real",h-80434,1 April 2020,6,"Poor people can cheat, all of them are good at deception, with this deception and acting, but still live in the basement? The rich can be naive, the whole family simple without brains, was sold to help a few money, really can live in a big villa?"
952,Hollywood watch and learn.,meiranog,14 December 2020,9,"One of the best movies in recent years!
Quirky,original and visually stunning.
It keeps you on the edge of your seat with constant plot changing.All in a very subtle way.
Finally a worthy winner!
It will stay with you for days and most importantly ....it will make you forget La La Land."
953,Good story but too hyped,ektasharma,19 March 2020,6,"The story was good. Acting is great. It basically shows the reality of rich and poor difference that exists in our society no matter what. My only reason to give it 6 star is with all the hype this movie has, My expectations were way too high and sadly it didn't live upto that."
954,This movie isn't for me.,Strawberry_Tea,22 May 2020,4,"I'm torn on how to rate this. The acting was good, the cinematography was pretty amazing, and I was captivated by the plot, but I just really didn't like the story.Most of the characters seem like terrible people. At first they were fine, dude was taking a job. All good, he helped his sister get a job by lying. Eh, fine whatever. Then getting other people fired to take their jobs... and then it all ends in murder? I'm not confused by the plot, but rather confused about why people love this so much. Granted, it's probably just not my thing. I tend to not like movies where most of the characters are terrible people and there's basically no redeeming qualities. Classics that people love, ""Gone with The Wind"" and ""Grease"", are two movies I hate.
This movie did nothing for me, other than leaving me confused on it's point. If you loved it, that's fine. I'm not trying to hate on this movie, or people who like it, I just don't get the hype.After watching a video explaining the themes a bit more, I decided to add two more stars to my rating. I understand the themes and why they are important, but this movie isn't for me."
955,A good drama and mind gripping series,sunnyraut-50276,5 October 2023,8,"The series is all about a family showing through the differences in between the classes in the society too, a great series to binge watch too. The series is always gripping the story line and keeps the watcher entertained as well as on the edge to whats going to happen next in the series.The series is a good walkthrough the differences in the state of the life in our society depending upon the finically or physically. The series as all the pov and everything for all the characters in the series so the audience gets the mindset and the vision for all the character's in it to understand there situation from there view."
